feature,importance
num__floorAreaSqM,0.5921266593816149
num__census_level4_perc,0.08728424203480573
num__crime_other_crime,0.08341908211427089
num__census_employed_total_perc,0.028830754393414402
num__crime_criminal_damage_and_arson,0.021414874619031094
cat__tenure_Freehold,0.01838065808798606
num__census_unemployed_perc,0.018236350733771438
num__bedrooms,0.018171823863380995
num__census_age_16_to_34_perc,0.015837657385927725
num__bathrooms,0.008815279662787952
num__crime_bicycle_theft,0.006435106643021594
num__crime_theft_from_the_person,0.006239890357518927
num__crime_shoplifting,0.006030212636807445
cat__propertyType_Purpose Built Flat,0.005745883002507153
num__census_no_qualifications_perc,0.005184555099926657
num__crime_burglary,0.0046899468765652175
cat__energyRating_B,0.004035508685544105
num__census_denom_total,0.0037914797218767727
cat__propertyType_Flat/Maisonette,0.00364403495765642
num__n_properties,0.0034790895228267236
num__livingRooms,0.003318040793747325
num__crime_vehicle_crime,0.003251317510598665
cat__energyRating_D,0.003110098699955574
num__census_age_65_plus_perc,0.0030874549628713667
cat__energyRating_C,0.002917082241828411
cat__propertyType_Converted Flat,0.0028237054535086067
num__census_retired_perc,0.002537926744862881
num__crime_robbery,0.002477134843485648
num__poi_restaurant,0.002373264826762564
num__crime_other_theft,0.0023387001532273934
